School Name,Degree Level,PGM-CD,Program Name,CIP,Add/Dis/Mov/Red,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Allegany College of Maryland,ASSOCIATE,520301,DENTAL HYGIENE,510602,,150,161,153,147,141,74,139,90,74,76,79,76,49,39
Allegany College of Maryland,ASSOCIATE,520501,MEDICAL LABORATORY TECH,511004,,41,22,25,40,44,25,32,32,32,30,30,24,22,17
Allegany College of Maryland,ASSOCIATE,520701,RADIOLOGIC TECH,510907,Discontinued in 2020,90,101,99,94,77,30,69,58,57,56,53,37,12,0
Allegany College of Maryland,ASSOCIATE,520801,NURSING,513801,,567,527,596,678,727,322,705,647,588,541,548,386,271,276
Allegany College of Maryland,ASSOCIATE,521001,OCCUPATIONAL THERAPY ASSISTANT,510803,Approved in 1992,51,54,74,87,95,52,74,68,65,63,60,48,25,14
Allegany College of Maryland,ASSOCIATE,521401,MEDICAL ASSISTANT,510801,Approved in 2000,37,38,49,51,50,14,41,39,34,36,33,33,21,19
Allegany College of Maryland,ASSOCIATE,521402,MEDICAL ADMINISTRATIVE ASSISTANT,510716,Approved in 2017,0,0,0,0,0,0,0,0,0,0,0,0,21,21
Allegany College of Maryland,ASSOCIATE,521501,RESPIRATORY THERAPIST,510908,Approved in 1980,51,56,78,85,60,25,58,68,52,40,38,41,30,42
Allegany College of Maryland,ASSOCIATE,521601,HUMAN SERVICES ASSOCIATE,511502,,60,68,72,74,102,32,69,57,76,58,45,41,35,24
Allegany College of Maryland,ASSOCIATE,521901,PHYSICAL THERAPIST ASSISTANT,510806,Approved in 1993,72,93,76,79,98,15,117,111,105,95,92,63,22,18
Allegany College of Maryland,ASSOCIATE,530601,AUTOMOTIVE TECH,470604,,28,27,21,32,45,42,48,41,24,33,42,27,19,25
Allegany College of Maryland,ASSOCIATE,539950,APPLIED TECHNICAL STUDIES,159999,Approved in 2004,5,10,10,13,14,15,15,31,23,16,27,29,17,16
Allegany College of Maryland,ASSOCIATE,540301,FOREST TECH,30511,,36,44,41,69,58,60,42,31,29,34,31,34,25,34
Allegany College of Maryland,ASSOCIATE,540401,CULINARY ARTS,120503,Approved in 1997,37,42,65,65,67,52,62,61,63,58,45,29,27,25
Allegany College of Maryland,ASSOCIATE,550302,CHILD CARE PROFESSIONAL,131201,Discontinued in 2019,0,0,0,0,0,0,0,0,1,3,4,0,0,0
Allegany College of Maryland,ASSOCIATE,550501,CRIMINAL JUSTICE,430107,Approved in 1979,108,124,110,150,160,162,159,116,84,85,95,81,74,62
Allegany College of Maryland,ASSOCIATE,559900,LEGAL STUDIES,220302,Approved in 2017,0,0,0,0,0,0,0,0,0,0,0,7,6,11
Allegany College of Maryland,ASSOCIATE,559920,MASSAGE THERAPY,513501,Approved in 1999,60,52,41,42,32,20,24,14,20,17,19,16,16,11
Allegany College of Maryland,NON-DEGREE UNDERGRADUATE,495001,GENERAL STUDIES TRANSFER,240199,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Allegany College of Maryland,NON-DEGREE UNDERGRADUATE,500102,BUSINESS ENTREPRENEURSHIP,520201,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Allegany College of Maryland,NON-DEGREE UNDERGRADUATE,500103,BUSINESS MARKETING & SALES,520201,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Allegany College of Maryland,NON-DEGREE UNDERGRADUATE,500501,OFFICE TECH.,520401,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Allegany College of Maryland,NON-DEGREE UNDERGRADUATE,500801,MULTIMEDIA TECHNOLOGY,100105,,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Allegany College of Maryland,NON-DEGREE UNDERGRADUATE,520101,PHARMACY TECHNICIAN,510805,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Allegany College of Maryland,NON-DEGREE UNDERGRADUATE,521601,HUMAN SERVICES ASSOCIATE,511502,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Allegany College of Maryland,NON-DEGREE UNDERGRADUATE,550501,CRIMINAL JUSTICE,430107,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Allegany College of Maryland,NON-DEGREE UNDERGRADUATE,909901,GENERAL UNDECLARED OR UNDECIDED,309999,,768,1011,1074,959,857,686,659,514,642,630,626,727,752,765
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,50300,DATA LITERACY,521302,Approved in 2018,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,129900,INTERPROFESSIONAL HEALTHCARE,519999,Approved in 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,491001,SCIENCE LABORATORY MANAGEMENT,240101,Discontinued in 2016,0,1,1,1,1,1,2,0,0,1,1,0,0,0
